Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
1820,NISSAN Xterra,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,15.0,20.0,17.0,4,no
1821,NISSAN Xterra,4.0,6,Man-6,2WD,Gasoline,SUV,7,16.0,20.0,17.0,4,no
1822,NISSAN Xterra,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,14.0,20.0,16.0,4,no
1823,NISSAN Xterra,4.0,6,Man-6,4WD,Gasoline,SUV,7,16.0,20.0,17.0,4,no
1828,PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22.0,31.0,26.0,8,yes
1829,PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24.0,33.0,27.0,8,yes
1832,PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22.0,31.0,26.0,8,yes
1833,PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,6,24.0,33.0,27.0,8,yes
1836,PONTIAC G5,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22.0,31.0,25.0,7,yes
1837,PONTIAC G5,2.4,4,Man-5,2WD,Gasoline,small car,6,22.0,32.0,26.0,8,yes
1838,PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,7,17.0,26.0,20.0,6,yes
1839,PONTIAC G6,3.5,6,Auto-L4,2WD,Gasoline,small car,7,18.0,29.0,22.0,6,yes
1841,PONTIAC G6,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22.0,30.0,25.0,7,yes
1845,PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,6,17.0,26.0,20.0,6,no
1847,PONTIAC G6,3.6,6,Auto-S6,2WD,Gasoline,small car,6,17.0,26.0,20.0,6,no
1849,PONTIAC G6,3.9,6,Auto-S4,2WD,Gasoline,small car,6,15.0,22.0,18.0,5,no
1851,PONTIAC G8,6.0,8,Auto-S6,2WD,Gasoline,large car,6,15.0,24.0,18.0,5,no
1852,PONTIAC Grand Prix,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,18.0,28.0,21.0,6,yes
1855,PONTIAC Grand Prix,5.3,8,Auto-S4,2WD,Gasoline,midsize car,6,16.0,25.0,19.0,5,no
1856,PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22.0,31.0,26.0,8,yes
1857,PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24.0,33.0,27.0,8,yes
1860,PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22.0,31.0,26.0,8,yes
1861,PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,6,24.0,33.0,27.0,8,yes
1864,PONTIAC Pursuit,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22.0,31.0,25.0,7,yes
1865,PONTIAC Pursuit,2.4,4,Man-5,2WD,Gasoline,small car,6,22.0,32.0,26.0,8,yes
1868,PONTIAC Solstice,2.0,4,Auto-L5,2WD,Gasoline,small car,6,19.0,26.0,21.0,6,no
1869,PONTIAC Solstice,2.0,4,Man-5,2WD,Gasoline,small car,6,19.0,28.0,22.0,6,no
1872,PONTIAC Solstice,2.4,4,Auto-L5,2WD,Gasoline,small car,6,19.0,24.0,21.0,6,no
1873,PONTIAC Solstice,2.4,4,Man-5,2WD,Gasoline,small car,6,19.0,25.0,21.0,6,no
1874,PONTIAC Torrent,3.4,6,Auto-L5,2WD,Gasoline,SUV,7,17.0,24.0,19.0,5,no
1875,PONTIAC Torrent,3.4,6,Auto-L5,4WD,Gasoline,SUV,7,17.0,24.0,19.0,5,no
1880,PONTIAC Torrent,3.6,6,Auto-S6,2WD,Gasoline,SUV,6,16.0,24.0,19.0,5,no
1881,PONTIAC Torrent,3.6,6,Auto-S6,4WD,Gasoline,SUV,6,16.0,24.0,19.0,5,no
1882,PONTIAC Vibe,1.8,4,Auto-L4,2WD,Gasoline,station wagon,7,25.0,31.0,27.0,8,yes
1883,PONTIAC Vibe,1.8,4,Man-5,2WD,Gasoline,station wagon,7,26.0,33.0,29.0,8,yes
1887,PORSCHE 911 GT2,3.6,6,Man-6,2WD,Gasoline,small car,6,16.0,23.0,19.0,5,no
1889,PORSCHE 911 GT3,3.6,6,Man-6,2WD,Gasoline,small car,6,15.0,22.0,18.0,5,no
1891,PORSCHE 911 GT3 RS,3.6,6,Man-6,2WD,Gasoline,small car,6,15.0,22.0,18.0,5,no
1894,PORSCHE 911 Turbo,3.6,6,Auto-L5,4WD,Gasoline,small car,6,15.0,23.0,18.0,5,no
1895,PORSCHE 911 Turbo,3.6,6,Man-6,4WD,Gasoline,small car,6,16.0,23.0,18.0,5,no
1898,PORSCHE 911 Turbo Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6,15.0,23.0,18.0,5,no
1899,PORSCHE 911 Turbo Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6,15.0,24.0,18.0,5,no
1900,PORSCHE Boxster,2.7,6,Auto-L5,2WD,Gasoline,small car,7,19.0,26.0,21.0,6,yes
1901,PORSCHE Boxster,2.7,6,Man-6,2WD,Gasoline,small car,7,19.0,28.0,22.0,6,yes
1902,PORSCHE Boxster,2.7,6,Man-5,2WD,Gasoline,small car,7,20.0,29.0,23.0,7,yes
1906,PORSCHE Boxster S,3.4,6,Auto-L5,2WD,Gasoline,small car,7,18.0,25.0,21.0,6,yes
1907,PORSCHE Boxster S,3.4,6,Man-6,2WD,Gasoline,small car,7,18.0,26.0,21.0,6,yes
1914,PORSCHE Carrera Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17.0,24.0,19.0,5,no
1915,PORSCHE Carrera Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
1916,PORSCHE Carrera Cabriolet,3.6,6,Auto-L5,2WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
1917,PORSCHE Carrera Cabriolet,3.6,6,Man-6,2WD,Gasoline,small car,6,18.0,26.0,21.0,6,no
1922,PORSCHE Carrera Coupe,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17.0,24.0,19.0,5,no
1923,PORSCHE Carrera Coupe,3.6,6,Man-6,4WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
1924,PORSCHE Carrera Coupe,3.6,6,Auto-L5,2WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
