,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
72,AUDI S5 Cabriolet,3.0,6.0,AMS-8,4WD,Gasoline,CA,small car,5,20,29,23,5,No
73,AUDI S5 Cabriolet,3.0,6.0,AMS-8,4WD,Gasoline,FA,small car,5,20,29,23,5,No
74,AUDI S5 Sportback,3.0,6.0,AMS-8,4WD,Gasoline,CA,midsize car,5,21,30,24,5,No
75,AUDI S5 Sportback,3.0,6.0,AMS-8,4WD,Gasoline,FA,midsize car,5,21,30,24,5,No
76,AUDI SQ5,3.0,6.0,AMS-8,4WD,Gasoline,CA,small SUV,5,19,24,21,4,No
77,AUDI SQ5,3.0,6.0,AMS-8,4WD,Gasoline,FA,small SUV,5,19,24,21,4,No
78,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,CA,small car,7,23,30,26,5,No
79,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,FA,small car,7,23,30,26,5,No
80,AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,CA,small car,3,19,29,22,4,No
81,AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,FA,small car,3,19,29,22,4,No
82,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,CA,small car,7,23,30,26,5,No
83,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,FA,small car,7,23,30,26,5,No
84,AUDI TTS Coupe,2.0,4.0,AMS-6,4WD,Gasoline,FA,small car,3,23,27,25,5,No
85,AUDI TTS Coupe,2.0,4.0,AMS-6,4WD,Gasoline,CA,small car,3,23,27,25,5,No
86,AUDI allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,station wagon,5,22,30,25,5,No
87,AUDI allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,FA,station wagon,5,22,30,25,5,No
88,BENTLEY Bentayga,6.0,12.0,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3,12,19,15,2,No
89,BENTLEY Bentayga,6.0,12.0,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3,12,19,15,2,No
90,BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,CA,small car,1,9,14,11,1,No
91,BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,FA,small car,1,9,14,11,1,No
92,BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,34,27,6,No
93,BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,34,27,6,No
94,BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,CA,small car,7,21,32,25,5,No
