Unnamed: 0,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
256,BUICK Encore,1.4,4,SemiAuto-6,4WD,Gasoline,CA,small SUV,3,24.0,30.0,27.0,6,No
258,BUICK Lacrosse,2.5,4,Auto-6,2WD,Gasoline,CA,midsize car,5,25.0,35.0,29.0,6,No
260,BUICK Lacrosse,3.6,6,SemiAuto-9,2WD,Gasoline,CA,midsize car,5,21.0,30.0,24.0,5,No
262,BUICK Lacrosse,3.6,6,SemiAuto-9,4WD,Gasoline,CA,midsize car,5,20.0,29.0,23.0,5,No
264,CADILLAC ATS,2.0,4,Man-6,2WD,Gasoline,CA,small car,5,20.0,29.0,23.0,5,No
266,CADILLAC ATS,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,5,22.0,31.0,25.0,5,No
268,CADILLAC ATS,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,5,22.0,30.0,25.0,5,No
270,CADILLAC ATS,3.6,6,SemiAuto-8,2WD,Gasoline,CA,small car,5,20.0,30.0,24.0,5,No
272,CADILLAC ATS,3.6,6,SemiAuto-8,4WD,Gasoline,CA,small car,5,19.0,27.0,22.0,4,No
274,CADILLAC ATS-V,3.6,6,Man-6,2WD,Gasoline,CA,small car,3,16.0,23.0,19.0,3,No
276,CADILLAC ATS-V,3.6,6,SemiAuto-8,2WD,Gasoline,CA,small car,3,17.0,25.0,20.0,4,No
278,CADILLAC CT6,2.0,4,SemiAuto-8,2WD,Gasoline,CA,large car,5,22.0,30.0,25.0,5,No
280,CADILLAC CT6,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,3,18.0,26.0,21.0,4,No
282,CADILLAC CT6,3.6,6,SemiAuto-8,4WD,Gasoline,CA,large car,5,18.0,27.0,21.0,4,No
284,CADILLAC CTS,2.0,4,SemiAuto-8,2WD,Gasoline,CA,midsize car,5,22.0,30.0,25.0,5,No
